id,nom_station,nom_dept,nom_com,insee_com,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y,x_reglementaire,y_reglementaire,the_geom
"1,Lislet Geoffroy,LA REUNION,Saint-Denis,97411,FR38001,urbaine,""Pollution de fond trafic routier et embruns marins"",Monoxyde d'azote,38,3,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4691,-20.8898,55.4691,-20.8898,0101000020E6100000DC4603780BBC4B4016FBCBEEC9E334C0"
"2,Lislet Geoffroy,LA REUNION,Saint-Denis,97411,FR38001,urbaine,""Pollution de fond trafic routier et embruns marins"",Particules PM10,5,15,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4691,-20.8898,55.4691,-20.8898,0101000020E6100000DC4603780BBC4B4016FBCBEEC9E334C0"
"3,Lislet Geoffroy,LA REUNION,Saint-Denis,97411,FR38001,urbaine,""Pollution de fond trafic routier et embruns marins"",Dioxyde d'azote,8,9,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4691,-20.8898,55.4691,-20.8898,0101000020E6100000DC4603780BBC4B4016FBCBEEC9E334C0"
4,Montgaillard,LA REUNION,Saint-Denis,97411,FR38002,p√©riurbaine,Pollution de fond et regionale,Ozone,7,33,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4683,-20.9033,55.4684,-20.9033,0101000020E6100000C05B2041F1BB4B40107A36AB3EE734C0
"5,Joinville,LA REUNION,Saint-Denis,97411,FR38008,urbaine,""Pollution de fond trafic routier et embruns marins"",Monoxyde d'azote,38,2,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4539,-20.8846,55.4539,-20.8846,0101000020E6100000C3D32B6519BA4B40A60A462575E234C0"
"6,Joinville,LA REUNION,Saint-Denis,97411,FR38008,urbaine,""Pollution de fond trafic routier et embruns marins"",Dioxyde d'azote,8,7,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4539,-20.8846,55.4539,-20.8846,0101000020E6100000C3D32B6519BA4B40A60A462575E234C0"
"7,Joinville,LA REUNION,Saint-Denis,97411,FR38008,urbaine,""Pollution de fond trafic routier et embruns marins"",Ozone,7,31,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4539,-20.8846,55.4539,-20.8846,0101000020E6100000C3D32B6519BA4B40A60A462575E234C0"
"8,Joinville,LA REUNION,Saint-Denis,97411,FR38008,urbaine,""Pollution de fond trafic routier et embruns marins"",Dioxyde de soufre,1,1,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4539,-20.8846,55.4539,-20.8846,0101000020E6100000C3D32B6519BA4B40A60A462575E234C0"
"9,La Marine,LA REUNION,Sainte-Suzanne,97420,FR38009,industrielle,""Industrielle (ABR) trafic routier et embruns marins"",Monoxyde d'azote,38,1,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.6189,-20.9106,55.6189,-20.9106,0101000020E610000048BF7D1D38CF4B40D3BCE3141DE934C0"
"10,La Marine,LA REUNION,Sainte-Suzanne,97420,FR38009,industrielle,""Industrielle (ABR) trafic routier et embruns marins"",Dioxyde d'azote,8,4,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.6189,-20.9106,55.6189,-20.9106,0101000020E610000048BF7D1D38CF4B40D3BCE3141DE934C0"
"11,La Marine,LA REUNION,Sainte-Suzanne,97420,FR38009,industrielle,""Industrielle (ABR) trafic routier et embruns marins"",Dioxyde de soufre,1,2,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.6189,-20.9106,55.6189,-20.9106,0101000020E610000048BF7D1D38CF4B40D3BCE3141DE934C0"
"12,La Marine,LA REUNION,Sainte-Suzanne,97420,FR38009,industrielle,""Industrielle (ABR) trafic routier et embruns marins"",Ozone,7,29,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.6189,-20.9106,55.6189,-20.9106,0101000020E610000048BF7D1D38CF4B40D3BCE3141DE934C0"
13,Bd Jean Jaures,LA REUNION,Saint-Denis,97411,FR38019,trafic,Trafic routier et embruns marins,Particules PM10,5,,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,N,55.4701,-20.8937,55.4708,-20.8935,0101000020E6100000787AA52C43BC4B40DBF97E6ABCE434C0
14,Bd Jean Jaures,LA REUNION,Saint-Denis,97411,FR38019,trafic,Trafic routier et embruns marins,Dioxyde d'azote,8,,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,N,55.4701,-20.8937,55.4708,-20.8935,0101000020E6100000787AA52C43BC4B40DBF97E6ABCE434C0
15,Bd Jean Jaures,LA REUNION,Saint-Denis,97411,FR38019,trafic,Trafic routier et embruns marins,Monoxyde d'azote,38,,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,N,55.4701,-20.8937,55.4708,-20.8935,0101000020E6100000787AA52C43BC4B40DBF97E6ABCE434C0
"16,Joinville,LA REUNION,Saint-Denis,97411,FR38008,urbaine,""Pollution de fond trafic routier et embruns marins"",Particules PM10,5,22,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4539,-20.8846,55.4539,-20.8846,0101000020E6100000C3D32B6519BA4B40A60A462575E234C0"
"17,Joinville,LA REUNION,Saint-Denis,97411,FR38008,urbaine,""Pollution de fond trafic routier et embruns marins"",""Particules fines PM2p5"",6001,9,µg.m-3,journaliere,2018-11-08 04:00:00,2018-11-09 03:59:00,A,55.4539,-20.8846,55.4539,-20.8846,0101000020E6100000C3D32B6519BA4B40A60A462575E234C0"
